Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,39145.94754433653,41070.378923278506,8413.41804115985,1924.4313789419757,133.25,"[37263.6982, 47473.0829, 48533.1237, 31011.6109]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,18217.714498315705,32939.08162185575,6166.780396876937,14721.367123540047,101.25,"[28572.7812, 36069.9439, 40055.1662, 27058.4351]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,39148.60846946996,41074.656530584056,8414.264983572783,1926.0480611140956,133.25,"[37266.1922, 47477.6323, 48539.0023, 31015.7993]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,18305.511149300222,32939.9156823982,6214.823339620384,14634.404533097975,101.25,"[28574.7466, 36109.8088, 40097.0819, 26978.0254]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,38969.4292524589,40921.33011230815,8539.99323461491,1951.900859849251,133.25,"[36541.9651, 47512.9843, 48582.1291, 31048.2419]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,17546.973271822495,31863.835008381327,6530.15212307171,14316.861736558832,184.75,"[27276.2693, 32768.9749, 40750.7378, 26659.358]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,39462.24789847306,40936.31726989474,10322.870460641616,1474.069371421676,192.75,"[35545.3366, 50444.9277, 48668.5999, 29086.4049]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,17557.730061923172,31863.934394165284,6534.168400102853,14306.204332242112,184.75,"[27275.7791, 32771.4363, 40755.4219, 26653.1004]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,39466.89669404183,40939.51824567032,10324.192395362139,1472.6215516284865,192.75,"[35546.1064, 50447.0655, 48675.8525, 29089.0486]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,17642.571196942306,31864.8096024419,6565.614499256172,14222.238405499593,184.75,"[27273.3754, 32791.2456, 40791.892, 26602.7254]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[128,64,32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,39506.2037692924,40965.67992212228,10335.799328683988,1459.476152829884,192.75,"[35554.6993, 50465.5015, 48734.5568, 29107.962]"
