Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,113306.34735402533,4.9697422441174604e+20,9.939484488234885e+20,4.969742244117459e+20,390.0,"[1.987896897646979e+21, 197220.3281, 4950272.9886, 113200.4901]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,73566.7233564606,2328444628209.342,4656888942814.396,2328444554642.6187,193.5,"[9313778042430.936, 194159.7008, 168518.2338, 107728.4968]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,33002.00091581477,78663681.87785718,157136190.8132614,78630679.87694137,205.75,"[314367967.9433, 102291.8513, 96082.8375, 88384.8793]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,198155.6608103613,3.7629885745519624e+16,7.525977149063907e+16,3.762988574532147e+16,198.5,"[1.5051954298147824e+17, 205195.8257, 198245.2933, 196835.9113]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,161655.7773619386,13669546758936.707,27339089866591.652,13669546597280.93,307.0,"[54678181558824.05, 207299.8422, 4954594.2026, 315028.7352]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[32,16,8],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,42509.60807359088,2600543.997656848,4078380.5269137314,2558034.389583257,380.75,"[8622774.0128, 113389.4254, 1606954.5147, 59058.0377]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,151017.10039794404,411612.22773198213,271142.1573221823,260595.1273340381,325.25,"[197840.5919, 205195.814, 473434.2696, 769978.2354]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,162777.55777593734,6.397672485307827e+18,1.279534497061493e+19,6.397672485307664e+18,217.25,"[2.559068994123022e+19, 198681.6824, 173036.6936, 717405.5673]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,39936.56254237585,356071846.3969111,711925139.2187655,356031909.8343687,252.75,"[1423959553.9138, 102654.9516, 155414.7042, 69762.018]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64,32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,157904.14744126107,2.5477782761939708e+16,5.095556551891536e+16,2.5477782761781804e+16,328.75,"[1.0191113104031275e+17, 243874.2842, 198245.9119, 7003963.1406]"
