Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",2767141062477.2583,4.0865079030504375e+23,8.173015806100874e+23,4.086507903022766e+23,76.5,"[1.634603161220175e+24, 82504.8091, 356856.855, 13543043.3232]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",6416295732190.682,2.705524580472869e+24,5.411049160945739e+24,2.7055245804664526e+24,146.0,"[1.0822098321891475e+25, 204152.1134, 104261.7334, 214457.8276]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",20584846910055.48,3.525897436564032e+24,7.051794873128064e+24,3.525897436543447e+24,102.5,"[1.4103589746256127e+25, 204152.9798, 5555728.8278, 2587855.8177]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",80522945544528.84,5.821988099208136e+24,1.1643976198416272e+25,5.821988099127613e+24,88.5,"[2.3287952396832543e+25, 88009.1382, 50151.4003, 375235.034]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",100986457732776.88,6.436540636109598e+24,1.28730812722192e+25,6.436540636008612e+24,116.0,"[2.5746162544438394e+25, 48454.9555, 51149.868, 247153.0664]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",10499803729340.617,7.390770866956457e+24,1.4781541733912915e+25,7.390770866945957e+24,127.25,"[2.956308346782583e+25, 204130.3909, 23192722.5901, 419124.4352]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",41956255483011.16,3.1586551082378347e+25,6.3173102164756695e+25,3.158655108233639e+25,89.0,"[1.2634620432951339e+26, 1801061.6175, 701677.4289, 5503349.8754]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",66042600435243.375,5.0214744657557466e+25,1.0042948931511493e+26,5.021474465749143e+25,73.75,"[2.0085897863022986e+26, 111474.8277, 1674299.151, 19541350.696]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",21656757405628.51,5.077992115648218e+25,1.0155984231296438e+26,5.0779921156460526e+25,100.5,"[2.0311968462592872e+26, 204170.9715, 375058418.5924, 2275595.3495]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",85710359613796.39,6.14378490059595e+25,1.2287569801191901e+26,6.143784900587379e+25,89.0,"[2.45751396023838e+26, 628940.5857, 617285.6106, 5052172.4528]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",29868512890010.71,6.486110811742338e+25,1.2972221623484676e+26,6.486110811739351e+25,113.25,"[2.5944443246969352e+26, 87324.4088, 654920.4994, 1067306.0491]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",60000032235998.12,2.1474859838715414e+26,4.294971967743082e+26,2.1474859838709415e+26,98.75,"[8.589943935486166e+26, 83626.9411, 799257.5857, 1871631.4521]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",302267185529679.8,2.688090067061644e+26,5.376180134123288e+26,2.6880900670586214e+26,68.75,"[1.0752360268246575e+27, 68395.3198, 79929.7906, 255324.5196]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",312172831801667.1,2.8369370656347078e+26,5.673874131269416e+26,2.8369370656315862e+26,68.75,"[1.134774826253883e+27, 68380.2115, 86545.6536, 252979.1544]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",244160459285956.84,5.8032353729688125e+26,1.1606470745937625e+27,5.803235372966371e+26,77.25,"[2.321294149187525e+27, 69831.5813, 495143.3647, 15636082.985]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",767473966789254.0,1.2127096248624086e+28,2.4254192497248172e+28,1.2127096248623319e+28,95.75,"[4.8508384994496344e+28, 65308.9084, 116225.0143, 2781848.0923]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",1173400580859326.8,1.5053201379648515e+28,3.010640275929703e+28,1.505320137964734e+28,89.0,"[6.021280551859406e+28, 83099.4188, 625003.8515, 10151335.8423]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",782198272693247.5,2.1732662903763824e+28,4.346532580752765e+28,2.173266290376304e+28,51.75,"[8.69306516150553e+28, 341214779.3189, 151332.9385, 22329283.5033]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",9425846202105424.0,2.3628769434672553e+28,4.725753886934511e+28,2.362876943466313e+28,73.25,"[9.451507773869021e+28, 84921.2796, 69036.9569, 269596.2704]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",3350294654228356.0,1.4645107195403798e+29,2.9290214390807595e+29,1.4645107195403463e+29,47.25,"[5.858042878161519e+29, 335197595.5646, 146611.9629, 22989077.8609]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",1.306838267803371e+16,1.520778490787433e+30,3.0415569815748655e+30,1.52077849078742e+30,55.25,"[6.083113963149732e+30, 67577.6033, 104764.4332, 594724.1162]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",1.7080703533542932e+16,1.6723268166188708e+30,3.3446536332377415e+30,1.6723268166188536e+30,80.25,"[6.689307266475483e+30, 297565.3596, 90792.8125, 10873344.1486]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",1.4492175946357824e+17,1.5177316058515259e+32,3.0354632117030518e+32,1.5177316058515244e+32,63.5,"[6.0709264234061035e+32, 69662.8451, 665391.9713, 554915.0133]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",3.013293626462646e+17,1.1468907132977e+33,2.2937814265954e+33,1.1468907132976997e+33,65.75,"[4.5875628531908e+33, 121056.2327, 73382.9638, 1939105.202]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",1.285858321510922e+19,3.151856987587785e+34,6.30371397517557e+34,3.1518569875877835e+34,77.5,"[1.260742795035114e+35, 40628.5842, 105039.8217, 386922.7582]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",6.952898601328866e+18,2.2324716674425658e+35,4.464943334885131e+35,2.2324716674425658e+35,61.25,"[8.929886669770263e+35, 69632.663, 71971.386, 1555342.8076]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",2.4283372996346245e+19,1.1589739095854763e+36,2.3179478191709526e+36,1.1589739095854763e+36,54.75,"[4.635895638341905e+36, 71446.254, 105366.0686, 2226947.9004]"
