Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",79216.69130205142,133147.7718295358,57776.93347985119,53931.08052748439,62.0,"[132183.8846, 204165.4977, 62650.4035, 133591.3014]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",116760.12984713141,133399.71725197928,48335.14633688541,16639.587404847873,100.75,"[96146.2413, 204115.9842, 122162.3207, 111174.3228]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",92513.27433188316,136080.06801826943,54145.176993964735,43566.79368638627,128.75,"[85509.8466, 204170.5662, 100413.0783, 154226.7809]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",92292.43610932288,138124.35878952587,49911.61851856174,45831.92268020299,46.25,"[122122.1645, 204161.6545, 84780.5071, 141433.109]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16443.36831674216,140291.88636716676,202076.24488751063,123848.51805042461,35.75,"[39504.4887, 28834.963, 49691.0754, 443137.0184]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",16430.94143875565,140357.68642863323,202204.5387687282,123926.74498987758,35.75,"[39501.6912, 28843.7603, 49689.5963, 443395.6979]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",77744.2210917542,140627.06146113103,69632.30633646874,62882.840369376834,62.25,"[106393.6953, 204160.5059, 59237.5848, 192716.4598]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",91719.6241357452,141687.28298005785,71414.38223111282,49967.65884431265,52.25,"[202750.6714, 204161.6417, 75589.9238, 84246.8949]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",83470.80299679242,145123.76904587424,114623.62008396295,61652.96604908182,33.75,"[45995.8738, 202575.8311, 53222.5924, 278700.7788]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",83215.26652193296,146798.29130480823,114761.49755644312,63583.02478287526,36.25,"[49559.4404, 202583.4036, 53323.53, 281726.7912]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",87670.7079655018,148711.83093516872,113799.58875757399,61041.12296966692,59.75,"[45219.4077, 203929.0015, 63473.5651, 282225.3495]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",87995.24996370636,153516.69742702012,120390.83002748822,65521.44746331376,59.75,"[46693.4395, 203929.9109, 63530.9654, 299912.4739]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",72116.96230237816,154595.0498026982,129528.32629656559,82478.08750032003,114.5,"[347962.0565, 73341.9956, 93287.6136, 103788.5335]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",67604.54485792088,156715.51581293068,132587.13045398603,89110.9709550098,101.0,"[77893.5059, 77834.5565, 117525.0307, 353608.9702]"
