Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",48635.04056884094,125176.50089133478,70984.591125129,76541.46032249385,155.5,"[209252.4509, 69491.3828, 158645.6374, 63316.5325]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",61549.94755700814,139286.1257621826,93973.89847437458,77736.17820517447,82.25,"[275538.3015, 123219.3653, 94163.6813, 64223.1549]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",48635.58646120577,300982.6577770115,495059.42036841466,252347.07131580575,62.5,"[1043364.4355, 52858.2708, 68169.8567, 39538.0681]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",54924.661725968836,302261.6973886443,409932.5692656764,247337.03566267545,168.25,"[917063.8464, 99236.182, 105122.4865, 87624.2747]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",42358.15300607674,331320.4788810271,565883.9885035255,288962.32587495033,75.25,"[1180097.7068, 55347.8408, 40568.6629, 49267.7051]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",40912.79715961822,448282.58497699426,798399.3740003078,407369.787817376,117.25,"[1645750.4206, 43601.9345, 65550.5176, 38227.4672]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",41132.292844722615,454328.81467867753,807799.4664514541,413196.5218339549,103.0,"[1665905.8984, 47728.7912, 65683.9023, 37996.6669]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",30350.872486115826,652070.8259327924,1222750.5751352939,621719.9534466766,58.25,"[2486182.856, 35552.8051, 47009.61, 39538.0326]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",29719.773024427945,660928.6120063093,1237800.6729338528,631208.8389818814,71.25,"[2517622.3575, 39652.4474, 46926.64, 39513.0031]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",59255.397869755936,764368.3070057246,1377761.9077887065,705112.9091359687,102.75,"[2831009.0103, 76936.632, 72672.4642, 76855.1215]"
