Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",12933.99431331164,44586.91339204838,21157.1611706999,31652.91907873674,38.5,"[35027.8735, 27870.5741, 40020.5444, 75428.6617]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",13531.29795197951,43291.28134242187,19762.71061861444,29759.983390442358,23.75,"[32689.3656, 27316.7934, 41563.5467, 71595.4196]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",12870.073501818912,43702.7861818473,19091.715870788863,30832.71268002839,30.75,"[34040.2821, 26405.0961, 44192.8727, 70172.8938]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",13347.222546749888,44289.931364268865,18924.099057886127,30942.70881751898,37.75,"[31929.4935, 29692.9624, 44631.6307, 70905.6389]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",13354.446249790299,44120.14029169491,18730.244668963944,30765.694041904608,37.75,"[32587.8772, 29025.0998, 44450.9918, 70416.5924]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",12061.079336100083,43243.15372795379,18183.729380762445,31182.074391853705,31.0,"[32846.9574, 26843.1684, 45330.0565, 67952.4326]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",11836.625268936072,43780.133162139886,18913.796407522008,31943.507893203816,38.75,"[32928.7517, 26880.4435, 45722.8962, 69588.4412]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",14364.990014180692,43630.80171066292,18198.524346932518,29265.811696482226,47.5,"[34173.3518, 27373.3387, 44054.7947, 68921.7217]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",9721.069964571943,43493.170939166484,17230.78171667898,33772.10097459454,60.5,"[35270.2743, 28043.9341, 42995.9572, 67662.5182]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",11377.856991500646,43714.18286756845,20378.96396116895,32336.325876067807,34.75,"[33201.3037, 25477.7659, 44132.5067, 72045.1551]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",9829.862393697773,43031.96710941427,18582.139791455367,33202.104715716494,44.0,"[33436.4202, 25765.8326, 44527.1705, 68398.4451]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",17031.07700126465,40816.89669706602,15271.409905932951,23785.81969580137,49.75,"[33280.6565, 26297.404, 42128.5494, 61560.9769]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",17070.112570908226,40764.080310562465,15383.092123830776,23693.96773965424,49.75,"[33416.4287, 25916.3661, 42136.5683, 61586.9582]"
