Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",83159.52071681464,170530.2762447832,148811.71974944524,87370.75552796855,22.5,"[40498.6909, 204166.1199, 70827.6211, 366628.673]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",79084.17912904087,112708.24527174761,68668.07966582304,33624.06614270674,39.25,"[56321.6169, 203864.144, 63287.5781, 127359.642]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",79409.10874530947,112934.06419448428,68681.17551963589,33524.95544917481,39.25,"[56215.2002, 203864.9633, 63574.1941, 128081.8991]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",84768.51785225839,102299.45118130647,70010.60318619783,17530.933329048086,50.0,"[49426.6913, 204167.3752, 64925.7681, 90677.9701]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",85562.41386242413,101234.2666783716,70296.34994234508,15671.852815947466,49.0,"[47958.0446, 204167.3807, 67510.7326, 85300.9089]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",72470.54058705702,88243.74497638972,72183.57911488124,15773.204389332692,33.25,"[38864.4753, 192555.1774, 40734.5997, 80820.7275]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",72009.02454847994,87438.66292347957,72918.67878241322,15429.638374999631,34.25,"[39021.1186, 192622.3251, 37464.591, 80646.6169]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",78894.28405241753,89704.05516910028,74688.0641487147,10809.77111668275,41.5,"[44599.1693, 200925.6279, 48145.0158, 65146.4077]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",78119.91170345378,88199.15043592754,75617.14920255789,10079.238732473765,57.0,"[41819.5309, 200941.8936, 48315.6328, 61719.5444]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",81470.28816692356,97820.52467176235,69113.08023661695,16350.236504838787,29.75,"[44926.4032, 195261.8828, 52688.4387, 98405.3739]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",81527.17871778778,97778.2401436532,69140.66634901645,16251.06142586541,29.75,"[44872.6129, 195312.2473, 52731.2421, 98196.8583]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",57689.776893513386,89840.68224322645,51034.82443358721,32150.90534971306,46.5,"[50179.9586, 89613.5913, 57606.4501, 161962.729]"
